9,254,greenh
1399,3061,wr
1905,3159,wm
2793,7814,cx_rw
508,1813,wt
582,4724,cx_b
215,4808,br
1120,7814,cx_rw
2233,364,wm
2119,3874,gf
1872,2665,bf
2242,203,gh
2836,4563,wt
1893,4972,ptc
2751,4795,cx_b
997,5897,cx_b
1381,5126,st
2052,2715,lt
1517,4925,wt
1969,3241,wm
935,6422,gh
844,5730,rf
2331,6254,of
2556,4155,greenh
141,1686,wt
223,4819,br
1280,140,gr
2235,7301,lt
1994,7377,lt
2238,483,xkc
809,4063,lt
1378,2725,wm
2639,2816,cx_rw
2799,4092,wr
2152,4040,ptc
2193,7419,lt
705,5941,gr
2473,2043,br
875,7365,lt
1511,98,wt
2300,3271,lt
2809,6227,st
230,6289,cx_rw
2083,3693,xkc
2177,3589,ptc
2081,5267,lt
206,136,of
880,5772,rf
927,2139,cx_gw
2158,5163,gf
555,3384,xkc
2155,5473,cx_gw
2584,3831,wt
202,4618,gr
902,7313,lt
655,2815,ptc
2504,6684,cc
368,2191,cx_rw
2398,2176,greenh
2060,4922,wm
651,2266,gh
60,2268,greenh
1693,5195,greenh
2165,4116,ptc
3022,7036,bf
1072,3009,dp
1130,2734,dp
941,4377,gr
2324,502,xkc
2642,2657,wr
1352,7213,rf
2518,2204,cx_rw
2196,317,ptc
2058,4649,cc
590,5982,cx_rw
2262,7068,st
670,6671,gr
1466,7871,gr
43,2092,gh
178,2140,dp
1036,1966,xkc
2363,266,bf
1955,5152,cc
988,3143,dp
2006,3366,ptc
2551,902,wr
1969,3675,cc
2543,4148,greenh
609,2773,wm
1079,2988,dp
1647,7471,cx_gw
2104,4976,wm
16,4433,gh
1180,5778,cx_b
2306,4089,cc
2080,5491,cx_gw
2058,2713,lt
1854,2681,bf
220,4793,br
2215,5738,cx_b
2661,6385,cx_b
2073,4921,wm
869,7358,lt
60,2247,greenh
36,1824,greenh
2122,4735,cc
695,2571,bf
2461,4415,wr
28,240,greenh
170,2156,dp
2662,6449,cx_b
156,2277,dp
1073,2962,dp
3064,7910,of
2531,4167,greenh
2533,3368,bf
2029,3463,ptc
2311,4645,xkc
1851,2679,bf
324,5129,greenh
2440,596,xkc
410,3053,cx_rw
1390,4274,cx_rw
2047,3258,ptc
2973,1860,of
1346,2294,wt
2801,4089,wr
585,2778,cc
706,2592,bf
2307,509,xkc
58,3489,st
2329,2953,gr
612,6338,cx_rw
2439,4111,bf
1042,3040,dp
1370,644,gh
105,2497,dp
1400,692,cx_gw
1086,3022,dp
1122,4976,cx_rw
2282,7088,st
2659,6387,cx_b
747,6903,gr
1925,3154,wm
2135,3859,gf
76,7590,wt
30,3608,cx_rw
1904,2603,bf
1537,2849,wm
65,3462,st
2162,5687,cx_gw
635,4929,wr
58,6858,bf
2112,3874,gf
305,4519,gr
2060,3742,ptc
2299,7067,st
296,4558,cx_gw
1433,4703,gh
1713,5516,ptc
1919,4804,ptc
63,2105,dp
2534,2070,br
157,4156,br
1865,3483,cc
2041,4650,cc
2205,5722,cx_b
3014,4449,of
1680,3977,wt
1817,3916,xkc
2172,5033,wm
2273,4540,gf
599,4725,cx_gw
2247,4344,ptc
44,3638,cx_rw
163,3238,st
95,1516,br
2042,4674,cc
913,5913,cx_b
1791,3645,xkc
1000,7508,st
2827,2346,cx_rw
2967,5102,gh
3016,4037,st
1000,3174,dp
1796,3582,xkc
2331,6268,of
578,4734,cx_b
2429,4623,gf
593,5991,cx_rw
2471,4610,ptc
1400,5099,cx_b
2071,4932,wm
2451,5149,cx_rw
2269,5660,lt
1827,6525,rf
110,6210,wr
1956,7395,lt
178,2164,dp
1545,1546,st
280,2474,greenh
