182,2128,dp
1723,1287,st
1741,4569,wr
2161,7701,gh
1116,3026,wr
1445,4689,gh
3079,5204,gr
2445,6791,xkc
1703,878,greenh
1305,5696,greenh
3093,5926,gr
2152,5024,wm
2369,5428,cx_gw
2309,4496,gf
2103,4974,wm
1921,7442,lt
73,3023,gh
2154,3807,gf
1827,1680,gh
2476,7939,wt
216,6257,cx_rw
2547,1935,wr
587,4749,cx_b
2044,4649,cc
1701,3340,wt
2286,1841,rf
1984,7383,lt
511,2987,of
1037,5825,cx_gw
2106,97,st
35,1810,greenh
2358,6927,xkc
181,2353,dp
1041,5827,cx_gw
156,2149,dp
2767,4259,cx_b
2094,2745,cx_b
1103,2745,dp
2509,6880,cc
2316,4578,xkc
2161,3838,gf
560,5953,cx_rw
2387,540,cc
2203,5698,cx_gw
2261,7304,lt
675,5927,gr
2494,6360,of
153,2152,dp
594,2726,cc
590,3353,cc
795,5110,gh
2117,81,st
2044,4902,wm
697,2582,bf
1201,5200,cx_rw
2771,4268,cx_b
1993,4858,wm
822,461,wt
297,4580,cx_gw
2296,7052,st
1097,7038,cx_rw
2198,5731,cx_b
2063,4619,cc
719,3833,lt
2374,2145,greenh
562,5678,rf
3071,3664,wt
3093,7784,rf
1640,6855,lt
97,2691,gh
556,3395,xkc
2023,5729,gh
3078,2396,wt
159,2163,dp
29,2028,dp
1348,630,gh
2304,3613,wr
2938,6948,cx_b
1063,2768,wr
2467,2044,br
680,5942,gr
691,5944,gr
503,7539,cx_gw
1174,1173,of
524,7511,lt
162,4158,br
3035,5925,gr
1259,107,gr
2610,1593,wr
294,5910,wr
1782,4736,xkc
2057,4913,wm
2868,4646,cx_gw
3016,5933,gr
2419,4606,gf
1697,2048,wt
2772,1814,wt
3043,5921,gr
2109,4966,wm
219,4782,br
1999,3333,gf
2778,60,st
869,7377,lt
152,2304,dp
2369,4103,ptc
620,4671,cx_gw
716,5409,lt
2322,5320,gf
2747,3216,of
1831,5933,gr
2101,5523,cx_gw
2476,4621,ptc
1208,1190,of
126,3181,wr
2648,869,cx_gw
1290,4915,rf
958,7221,gr
530,5706,bf
